Date,Month,Title,Description,Class,Period
1,1,Hijri New Year,,1,day
1,1,Urus Mawlai Abdullah Saheb,,3,day
2,1,Urus Syedi Shaikh Pir Jamaluddin,,3,day
2,1,Urus Syedi Khanji Fir Saheb,,3,day
2,1,Urus Mawlai Raj Bin Mawlai Hasan Saheb,,3,day
6,1,Urus Syedi Mohammed Bin Qazikhan,,3,day
7,1,Urus Syedna Ismail Badruddin (AQ),"38th Dai, Jamnagar, India.",1,day
10,1,Urus Syedna Zoeb Bin Musa (AQ),"1st Dai, Hawth, Yemen.",1,day
10,1,Shahadat Imam Hussain (SA),"2nd Imam, Karbala, Iraq.",1,day
10,1,Yawme Ashura,,1,day
10,1,Urus Mawlai Ahmed Saheb,,3,day
11,1,Suyum Imam Hussain (SA),"2nd Imam, Karbala, Iraq.",1,night
14,1,Urus Mawlai Lukmanji Mulla Alibhai Saheb,,3,day
15,1,Urus Mawlai Nuruddin Saheb,,3,day
16,1,Urus Syedna Hatim bin Syedna Ibrahim (AQ),"3rd Dai, Hutaib, Yemen.",1,day
17,1,Urus Syedna Ibrahim Vajihuddin (AQ),"39th Dai, Ujjain, India.",1,day
17,1,Shahadat Imam Ali Zainulabedin (SA),"3rd Imam, Medina, Saudi Arabia.",1,day
17,1,Urus Mulla Mohammedali bin Syedi Najam Khan,,3,day
17,1,Urus Mawlai Masud bin Sulaiman,,3,day
17,1,Urus Seven Shahid Sahebo,,3,day
18,1,Urus Shahid Gani Pir Ibne Dawoodji,,3,day
23,1,Urus Syedi Hasan Fir Saheb Shahid,"Denmal, India.",2,day
23,1,Urus Noor Bibi Umme Syedna Yusuf Najmuddin,,3,day
23,1,Urus Fatema Bibi Ukhte Syedna Yusuf Najmuddin,,3,day
24,1,Urus Syedi Dada Sulemanji,,3,day
27,1,Urus Syedi Fakhruddin Shahid (AQ),"Taherabad, India.",2,day
28,1,Urus Syedi Musaji bin Taj,,3,day
29,1,Urus Mawlai Hasan Bin Mawlai Adam,,3,day
1,2,Urus Syedna Ali Bin Syedna Hussain (AQ),"10th Dai, Sanaa, Yemen.",1,day
3,2,Urus Syedna Ali Shamsuddin Bin Syedna Abdullah (AQ),"18th Dai, Sharaqa, Yemen.",1,day
4,2,Urus Syedna Abdul Tayyib Zakiyuddin (AQ),"41st Dai, Burhanpur, India.",1,day
6,2,Urus Syedi Abdeali Imaduddin,"Surat, India.",3,day
8,2,Urus Syedna Khattab Bin Hasan Hamdani (AQ),,1,day
9,2,Urus Syedi Tayyib bs Zainuddin,,3,day
12,2,Urus Syedna Ahmed Hamiduddin Kirmani (RA),,1,day
13,2,Urus Mawlai Adam bin Sulaimanji,,3,day
14,2,Urus Kaka Akela - Kaki Akeli,,3,day
14,2,Urus Mawlai Noorbhai Saheb,,3,day
15,2,Urus Syedi Hamza Bhaisaheb,,3,day
17,2,Urus Shaikh AbdulHusain Shahid,,3,day
17,2,Urus Mawlai Shaikh Saheb bin Sulaimanji,,3,day
17,2,Urus Syedi Shaikh Ibrahim,,3,day
20,2,Chelum Imam Hussain (SA),"2nd Imam, Karbala, Iraq.",1,day
22,2,Urus Syedna Hussain bin Syedna Ali (AQ),"8th Dai, Sanaa, Yemen.",1,day
27,2,Urus Syedna Mohammed Izziuddin (AQ),"23rd Dai, Zabid, Yemen.",1,day
28,2,Shahadat Imam Hassan (SA),"1st Imam, Medina, Saudi Arabia.",1,day
29,2,Urus Syedi Hasan Zakiyuddin,,3,day
1,3,Urus Syedi Shaikh Adam Safiyuddin,,3,day
1,3,Urus Syedi Jamaluddin bin Shaikh Adam,,3,day
2,3,Urus Syedna Abdul Tayyib Zakiyuddin bin Syedna Dawood bin Qutbub Shah (AQ),"29th Dai, Ahmedabad, India.",1,day
4,3,Urus Syedi Habibullah bin Mulla Adamji,,3,day
7,3,Urus Syedi Shaikh Dawood Bhai Mulla Mehmoodji,,3,day
